
2015年MUGEN CUP越野車公開賽
Race Results for A Final: Round:5 1：8 油越
Position 	Car # 	Name 	Laps 	Time 	Fastest
Lap 	Average
Lap
1 	1 	小平 	133 	1h00m17.616 	25.461 	27.200
2 	3 	文一 	130 	1h00m21.658 	25.122 	27.859
3 	2 	NELSON WOO 	128 	1h00m15.419 	25.706 	28.245
4 	8 	李聰 	128 	1h00m15.581 	25.554 	28.247
5 	4 	TQ強 	127 	1h00m12.271 	26.088 	28.443
6 	7 	Carson Yeung 	125 	1h00m02.779 	26.392 	28.822
7 	5 	黃聖傑 	122 	57m52.429 	25.355 	28.463
8 	9 	劉聰 	121 	1h00m05.399 	25.801 	29.797
9 	10 	郭耀威 	120 	1h00m23.814 	26.037 	30.198
10 	6 	林樂樺 	92 	43m12.775 	26.146 	28.182

Race Laptimes Lap 	Car 1 	Car 2 	Car 3 	Car 4 	Car 5 	Car 6 	Car 7 	Car 8 	Car 9 	Car 10
1	14.644	15.835	15.407	16.872	28.713	20.207	25.800	17.701	18.844	20.632
2	26.547	26.653	26.568	26.111	32.257	27.416	27.302	26.762	29.534	42.335
3	27.302	27.540	26.783	27.912	26.841	26.704	31.788	28.044	26.288	30.068
4	26.095	26.478	26.715	27.547	26.619	26.278	28.948	28.454	31.386	26.683
5	26.199	27.221	26.289	26.089	26.339	27.325	28.299	27.758	27.264	33.228
6	25.574	28.549	26.043	26.489	27.961	27.356	27.595	26.848	27.086	26.801
7	26.298	28.820	27.663	26.631	25.907	26.600	27.289	26.921	26.248	32.471
8	26.000	27.026	26.119	27.277	25.390	28.147	26.392	26.918	27.087	27.046
9	25.560	26.292	26.896	26.869	26.624	26.877	28.640	26.832	27.084	26.117
10	26.019	26.132	26.339	26.525	25.948	26.417	28.017	26.289	26.945	30.320
11	25.594	26.415	25.788	26.792	25.899	26.583	27.879	25.554	26.815	27.059
12	25.770	26.526	26.146	27.023	26.662	26.657	27.722	26.632	26.640	29.433
13	27.044	26.815	27.898	26.902	25.696	26.548	27.577	26.483	27.915	37.696
14	26.416	26.073	26.538	26.452	25.355	26.337	28.376	27.524	27.635	28.222
15	26.013	26.381	26.239	34.953	25.854	34.093	27.603	26.133	81.669	26.834
16	26.491	26.928	26.034	26.869	26.359	26.926	27.789	34.139	26.930	26.279
17	26.356	26.306	26.436	36.162	34.469	26.712	27.008	26.680	27.363	28.639
18	32.207	26.650	27.157	26.965	26.566	26.634	35.317	26.995	26.576	26.211
19	25.803	55.600	27.145	33.176	26.244	27.973	26.918	27.698	34.241	26.853
20	26.311	28.690	25.986	26.544	26.560	26.255	37.020	26.391	29.929	26.479
21	26.688	26.869	36.143	26.726	26.887	29.023	29.485	26.459	26.661	27.091
22	25.776	25.706	26.340	27.233	26.184	26.638	26.940	41.734	26.373	28.929
23	28.043	27.165	27.155	27.321	26.494	26.354	27.985	27.790	26.453	29.408
24	26.254	27.023	26.633	27.134	31.327	26.420	32.382	27.108	26.084	28.647
25	26.684	26.536	30.965	26.785	25.418	26.350	27.583	26.599	26.644	29.243
26	25.925	30.090	27.768	26.719	25.712	26.536	26.920	26.526	32.824	27.948
27	25.499	26.293	27.087	26.711	25.814	32.743	27.654	26.176	28.837	35.874
28	26.220	27.922	26.920	36.780	25.409	37.037	27.284	27.434	32.869	27.146
